Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
spoilage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoilages,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoiled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoilled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoils,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spontaneous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spook,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spookier,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spookiest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spookily,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spooky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoon-fed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoon-feed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoonfed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sporadic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sporty,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spotless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spotty,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sprightly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spurious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spurn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sputter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squabble,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squabbling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squander,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squash,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squeak,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squeaks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squeaky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squeal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squealing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squeals,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
squirm,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stab,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stability,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stabilize,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stagnant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stagnate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stagnation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
staid,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stain,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stainless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stains,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stale,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stalemate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stall,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stalls,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stammer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stampede,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
standout,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
standstill,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stark,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
starkly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
startle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
startling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
startlingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
starvation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
starve,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
state-of-the-art,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stately,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
static,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
statuesque,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
staunch,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
staunchly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
staunchness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steadfast,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steadfastly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steadfastness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steadiest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steadiness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steady,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
steal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stealing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
steals,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
steep,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
steeply,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stellar,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stellarly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stench,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stereotype,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stereotypical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stereotypically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stern,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stew,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sticky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stiff,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stiffness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stifle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stifling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stiflingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stigma,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stigmatize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stimulate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stimulates,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stimulating,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stimulative,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stinging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stingingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stingy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stink,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stinks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stirringly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stodgy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stole,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stolen,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stooge,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stooges,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stormy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
straggle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
straggler,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
straighten,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
straightforward,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
strain,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strained,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
straining,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strange,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strangely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stranger,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strangest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strangle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
streaky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
streamlined,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
strenuous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stress,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stresses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stressful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stressfully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stricken,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strict,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strictly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strident,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stridently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strife,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strike,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
striking,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
strikingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stringent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stringently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
striving,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
strong,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stronger,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
strongest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
struck,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
struggle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
struggled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
struggles,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
struggling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
strut,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stubborn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stubbornly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stubbornness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stuck,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stuffy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stumble,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stumbled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stumbles,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stump,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stumped,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stumps,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stun,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stunned,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stunning,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stunningly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stunt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stunted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupendous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stupendously,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stupid,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupidest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupidity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupidly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupified,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupify,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stupor,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sturdier,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sturdy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stutter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stuttered,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stuttering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stutters,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sty,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
stylish,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stylishly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stylized,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
stymied,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
suave,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
suavely,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sub-par,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subdued,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subjected,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subjection,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subjugate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subjugation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sublime,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
submissive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subordinate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subpoena,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subpoenas,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subservience,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subservient,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subsidize,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
subsidized,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
subsidizes,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
subsidizing,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
substandard,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
substantive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
subtract,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subversion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subversive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subversively,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
subvert,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
succeed,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
